index,block_type,block,layer_name,ks_h,ks_w,ks_if,ks_of,if_h,if_w,if_ch,of_h,of_w,of_ch,stride,pad_l,pad_r,pad_h,pad_b,input_layer,ops,params,row_size(index),ks_row_size(index),wt(4index),(ps)conv,(ps)mean,pl(conv),pl(dconv)
93,,,blk16_conv4_1s1_sm,1,1,32,672,1,1,32,16,16,672,1,,,,,90,5505024,22176,0,0,0,215040,0,0,0
94,,,blk16_conv5_1s1_add,1,1,672,112,16,16,672,16,16,112,1,,,,,88,19267584,75376,0.1640625,0.1640625,0.287109375,0,0,0,19267584
95,7,blk17,blk17_conv1_1s1_sm,1,1,112,672,16,16,112,16,16,672,1,,,,,,19267584,75936,0.02734375,0.02734375,0.287109375,0,0,0,19267584
96,,,blk17_depconv2_5s1_sm,5,5,672,1,16,16,672,16,16,672,1,2,2,2,2,,4300800,17472,0.1640625,0.8203125,0.064086914,0,0,4300800,0
97,,,blk17_mean,,,,,16,16,672,1,1,672, ,,,,,,0,0,0,0,0,0,174720,0,0
98,,,blk17_conv3_1s1_sm,1,1,672,32,1,1,672,1,1,32,1,,,,,,21504,21536,0,0,0,43008,0,0,0
99,,,blk17_conv4_1s1_sm,1,1,32,672,1,1,32,16,16,672,1,,,,,96,5505024,22176,0,0,0,215040,0,0,0
100,,,blk17_conv5_1s1,1,1,672,160,16,16,672,16,16,160,1,,,,,,27525120,107680,0.1640625,0.1640625,0.41015625,0,0,0,27525120
101,6,blk18,blk18_conv1_1s1_sm,1,1,160,960,16,16,160,16,16,960,1,,,,,,39321600,154560,0.0390625,0.0390625,0.5859375,0,0,0,39321600
102,,,blk18_depconv2_5s1_sm,5,5,960,1,16,16,960,16,16,960,1,2,2,2,2,,6144000,24960,0.234375,1.171875,0.091552734,0,0,6144000,0
103,,,blk18_mean,,,,,16,16,960,1,1,960,,,,,,,0,0,0,0,0,0,249600,0,0
104,,,blk18_conv3_1s1_sm,1,1,960,48,1,1,960,1,1,48,1,,,,,,46080,46128,0,0,0,92160,0,0,0
105,,,blk18_conv4_1s1_sm,1,1,48,960,1,1,48,16,16,960,1,,,,,102,11796480,47040,0,0,0,337920,0,0,0
106,,,blk18_conv5_1s1_add,1,1,960,160,16,16,960,16,16,160,1,,,,,100,39321600,153760,0.234375,0.234375,0.5859375,0,0,0,39321600
107,,blk19,blk19_conv1_1s1_sm,1,1,160,960,16,16,160,16,16,960,1,,,,,,39321600,154560,0.0390625,0.0390625,0.5859375,0,0,0,39321600
108,,,blk19_depconv2_5s1_sm,5,5,960,1,16,16,960,16,16,960,1,2,2,2,2,,6144000,24960,0.234375,1.171875,0.091552734,0,0,6144000,0
109,,,blk19_mean,,,,,16,16,960,1,1,960,,,,,,,0,0,0,0,0,0,249600,0,0
110,,,blk19_conv3_1s1_sm,1,1,960,48,1,1,960,1,1,48,1,,,,,,46080,46128,0,0,0,92160,0,0,0
111,,,blk19_conv4_1s1_sm,1,1,48,960,1,1,48,16,16,960,1,,,,,108,11796480,47040,0,0,0,337920,0,0,0
112,,,blk19_conv5_1s1_add,1,1,960,160,16,16,960,16,16,160,1,,,,,106,39321600,153760,0.234375,0.234375,0.5859375,0,0,0,39321600
113,,blk20,blk20_conv1_1s1_sm,1,1,160,960,16,16,160,16,16,960,1,,,,,,39321600,154560,0.0390625,0.0390625,0.5859375,0,0,0,39321600
114,,,blk20_depconv2_5s1_sm,5,5,960,1,16,16,960,16,16,960,1,2,2,2,2,,6144000,24960,0.234375,1.171875,0.091552734,0,0,6144000,0
115,,,blk20_mean,,,,,16,16,960,1,1,960,,,,,,,0,0,0,0,0,0,249600,0,0
116,,,blk20_conv3_1s1_sm,1,1,960,48,1,1,960,1,1,48,1,,,,,,46080,46128,0,0,0,92160,0,0,0
117,,,blk20_conv4_1s1_sm,1,1,48,960,1,1,48,16,16,960,1,,,,,114,11796480,47040,0,0,0,337920,0,0,0
118,,,blk20_conv5_1s1_add,1,1,960,160,16,16,960,16,16,160,1,,,,,112,39321600,153760,0.234375,0.234375,0.5859375,0,0,0,39321600
119,,blk21,blk21_conv1_1s1_sm,1,1,160,960,16,16,160,16,16,960,1,,,,,,39321600,154560,0.0390625,0.0390625,0.5859375,0,0,0,39321600
120,,,blk21_depconv2_5s1_sm,5,5,960,1,16,16,960,16,16,960,1,2,2,2,2,,6144000,24960,0.234375,1.171875,0.091552734,0,0,6144000,0
121,,,blk21_mean,,,,,16,16,960,1,1,960,,,,,,,0,0,0,0,0,0,249600,0,0
122,,,blk21_conv3_1s1_sm,1,1,960,48,1,1,960,1,1,48,1,,,,,,46080,46128,0,0,0,92160,0,0,0
123,,,blk21_conv4_1s1_sm,1,1,48,960,1,1,48,16,16,960,1,,,,,120,11796480,47040,0,0,0,337920,0,0,0
124,,,blk21_conv5_1s1_add,1,1,960,160,16,16,960,16,16,160,1,,,,,118,39321600,153760,0.234375,0.234375,0.5859375,0,0,0,39321600
125,,blk22,blk22_conv1_1s1_sm,1,1,160,960,16,16,160,16,16,960,1,,,,,,39321600,154560,0.0390625,0.0390625,0.5859375,0,0,0,39321600
126,,,blk22_depconv2_5s1_sm,5,5,960,1,16,16,960,16,16,960,1,2,2,2,2,,6144000,24960,0.234375,1.171875,0.091552734,0,0,6144000,0
127,,,blk22_mean,,,,,16,16,960,1,1,960,,,,,,,0,0,0,0,0,0,249600,0,0
128,,,blk22_conv3_1s1_sm,1,1,960,48,1,1,960,1,1,48,1,,,,,,46080,46128,0,0,0,92160,0,0,0
129,,,blk22_conv4_1s1_sm,1,1,48,960,1,1,48,16,16,960,1,,,,,126,11796480,47040,0,0,0,337920,0,0,0
130,,,blk22_conv5_1s1_add,1,1,960,160,16,16,960,16,16,160,1,,,,,124,39321600,153760,0.234375,0.234375,0.5859375,0,0,0,39321600
131,5,blk23,blk23_conv1_1s1_sm,1,1,160,960,16,16,160,16,16,960,1,,,,,,39321600,154560,0.0390625,0.0390625,0.5859375,0,0,0,39321600
132,,,blk23_depconv2_5s2_sm,5,5,960,1,16,16,960,8,8,960,2,1,2,1,2,,1536000,24960,0.234375,1.171875,0.091552734,0,0,1536000,0
133,,,blk23_mean,,,,,8,8,960,1,1,960, ,,,,,,0,0,0,0,0,0,65280,0,0
134,,,blk23_conv3_1s1_sm,1,1,960,48,1,1,960,1,1,48,1,,,,,,46080,46128,0,0,0,92160,0,0,0
135,,,blk23_conv4_1s1_sm,1,1,48,960,1,1,48,8,8,960,1,,,,,132,2949120,47040,0,0,0,153600,0,0,0
136,,,blk23_conv5_1s1,1,1,960,272,8,8,960,8,8,272,1,,,,,,16711680,261392,0.1171875,0.1171875,0.99609375,0,0,0,16711680
137,6,blk24,blk24_conv1_1s1_sm,1,1,288,1632,8,8,288,8,8,1632,1,,,,,,28409856,445536,0.033203125,0.033203125,1.693359375,0,0,0,28409856
138,,,blk24_depconv2_5s1_sm,5,5,1632,1,8,8,1632,8,8,1632,1,2,2,2,2,,2611200,42432,0.19921875,0.99609375,0.155639648,0,0,2611200,0
139,,,blk24_mean,,,,,8,8,1632,1,1,1632,,,,,,,0,0,0,0,0,0,110976,0,0
140,,,blk24_conv3_1s1_sm,1,1,1632,80,1,1,1632,1,1,80,1,,,,,,130560,130640,0,0,0,261120,0,0,0
141,,,blk24_conv4_1s1_sm,1,1,80,1632,1,1,80,8,8,1632,1,,,,,138,8355840,132192,0,0,0,365568,0,0,0
142,,,blk24_conv5_1s1_add,1,1,1632,288,8,8,1632,8,8,288,1,,,,,136,28409856,444176,0.19921875,0.19921875,1.693359375,0,0,0,28409856
